Label ID,Length,Width,Height,Weight,Delivery Seq
0,95,57,50,268,3
1,97,59,55,269,3
2,100,56,55,256,2
3,100,58,55,286,1
4,95,56,52,266,4
5,97,55,55,286,2
6,97,57,53,255,4
7,100,60,52,267,5
8,97,58,51,271,2
9,97,55,52,260,4
10,96,55,50,268,5
11,95,59,52,260,5
12,97,59,54,278,3
13,96,60,53,262,2
14,100,60,55,269,1
15,98,59,55,263,2
16,100,57,54,294,3
17,99,56,52,291,4
18,98,56,53,281,5
19,95,59,51,300,5
20,99,57,51,276,5
21,98,60,54,255,2
22,96,56,55,290,5
23,97,58,52,263,3
24,96,59,55,298,1
25,95,58,55,289,5
26,98,55,51,255,5
27,96,56,51,255,4
28,99,59,53,265,5
29,98,55,52,272,1
30,100,60,50,265,4
31,99,56,50,271,5
32,97,57,53,291,1
33,98,59,53,255,3
34,97,55,52,269,3
35,99,57,55,257,1
36,98,59,50,298,1
37,100,59,53,257,1
38,95,56,51,292,1
39,97,58,52,277,3
40,95,58,55,262,1
41,99,57,53,269,1
42,96,59,53,284,3
43,97,57,50,267,5
44,96,60,50,291,3
45,100,57,52,270,5
46,98,56,53,252,3
47,97,59,55,261,4
48,97,58,55,262,5
49,98,59,51,296,1
50,99,55,52,293,3
51,95,56,53,296,3
52,98,58,50,264,5
53,95,56,50,279,5
54,100,59,55,290,5
55,98,59,52,258,1
56,95,57,50,270,2
57,96,59,54,282,4
58,96,59,50,266,2
59,98,59,53,288,4
60,99,56,50,259,5
61,100,60,53,253,3
62,100,59,50,293,4
63,98,56,53,260,2
64,95,56,54,280,1
65,100,58,50,268,2
66,100,60,51,253,5
67,100,59,54,275,1
68,99,60,54,287,3
69,98,59,54,269,2
70,100,59,55,271,3
71,100,57,50,276,2
72,95,55,52,262,5
73,99,58,51,262,4
74,98,60,53,256,2
75,100,59,51,281,4
76,98,58,53,284,4
77,96,60,51,257,2
78,99,60,52,293,4
79,100,59,50,259,1
80,98,55,55,292,3
81,96,60,51,256,1
82,99,58,53,260,2
83,99,57,52,254,1
84,99,60,51,257,5
85,99,58,52,262,5
86,97,55,55,254,3
87,100,58,50,255,4
88,96,55,51,297,5
89,100,57,55,285,4
90,98,57,53,281,4
91,97,56,52,266,2
92,98,58,51,263,3
93,96,57,55,252,4
94,97,55,53,264,1
95,96,55,52,264,4
96,99,57,54,279,4
97,95,56,52,289,4
98,98,59,54,285,2
99,97,57,52,300,4
100,99,55,54,293,4
101,97,59,50,255,3
102,100,59,51,257,5
103,99,59,51,298,2
104,96,56,51,264,2
105,98,59,50,277,1
106,98,60,52,290,1
107,99,56,54,266,1
108,99,57,51,255,4
109,98,59,54,291,3
110,97,58,50,295,2
111,99,58,52,271,4
112,99,60,53,259,2
113,95,58,50,277,5
114,96,55,52,265,3
115,98,60,52,294,4
116,96,57,50,284,2
117,100,55,55,288,3
118,96,57,55,260,3
119,100,59,55,257,2
120,98,59,52,254,5
121,99,58,52,266,3
122,96,57,52,258,3
123,98,60,50,250,3
124,98,56,51,259,5
125,95,58,55,286,1
126,96,56,50,276,3
127,99,57,52,297,5
128,100,60,55,257,2
129,98,58,55,289,4
130,99,57,51,291,4
131,96,56,55,274,4
132,95,58,51,287,1
133,96,57,52,287,3
134,97,59,54,278,5
135,97,57,52,299,5
136,99,60,50,286,3
137,98,55,54,285,3
138,97,60,54,294,4
139,95,57,51,261,5
140,95,59,54,276,5
141,100,55,53,288,5
142,96,60,50,286,1
143,99,60,50,254,1
144,98,60,54,268,4
145,96,59,55,260,3
146,95,57,55,273,5
147,100,57,55,297,1
148,100,59,55,261,3
149,100,56,52,292,4
150,98,56,50,289,4
151,96,55,51,288,3
152,97,59,53,281,3
153,100,59,53,286,5
154,98,56,52,279,1
155,96,60,54,272,5
156,99,57,55,284,2
157,99,60,51,296,2
158,99,58,50,255,5
159,96,58,50,259,1
160,97,55,52,296,4
161,98,56,54,267,2
162,100,57,53,250,3
163,99,60,53,258,3
164,97,57,53,275,2
165,97,60,51,267,4
166,97,58,55,259,3
167,99,57,52,298,4
168,99,56,55,257,2
169,95,59,55,282,5
170,96,58,52,279,1
171,96,58,51,266,5
172,100,59,50,298,2
173,97,56,53,275,4
174,95,55,54,270,2
175,95,59,55,252,1
176,95,56,50,294,1
177,99,60,51,257,3
178,97,59,53,259,1
179,99,56,52,253,5
180,95,59,53,274,3
181,99,58,52,299,3
182,95,59,51,287,3
183,96,60,50,250,1
184,96,60,54,275,5
185,100,55,51,264,5
186,98,57,54,298,5
187,95,60,54,275,4
188,95,56,52,282,3
189,100,58,51,263,1
190,96,60,55,275,3
191,98,55,53,276,1
192,96,58,55,279,4
193,100,56,50,289,2
194,99,60,55,297,3
195,96,56,50,287,5
196,98,58,52,289,1
197,95,58,53,286,5
198,97,57,50,264,2
199,95,56,55,269,3
