Label ID,Length,Width,Height,Weight,Delivery Seq
0,95,57,54,257,1
1,99,57,52,287,3
2,98,55,55,282,5
3,98,56,52,300,6
4,97,60,54,258,2
5,100,56,55,276,4
6,95,58,54,275,8
7,99,55,53,274,5
8,98,55,50,282,4
9,99,60,54,283,6
10,99,57,52,251,2
11,99,58,54,292,8
12,97,58,52,250,8
13,97,56,50,289,1
14,95,57,53,282,2
15,100,60,53,288,2
16,96,57,55,288,3
17,96,58,52,279,3
18,96,59,54,257,8
19,100,58,55,258,3
20,98,58,50,263,5
21,95,60,52,277,7
22,100,55,50,261,8
23,96,56,51,277,2
24,96,55,50,293,2
25,98,55,51,272,6
26,99,59,50,250,6
27,95,56,53,281,8
28,100,58,50,273,4
29,98,58,53,300,3
30,96,58,53,296,6
31,99,55,54,251,3
32,99,56,50,268,2
33,95,55,53,287,4
34,96,56,51,268,4
35,99,56,53,286,3
36,100,58,54,268,7
37,97,59,50,287,7
38,100,58,53,295,4
39,98,55,53,271,6
40,100,60,54,263,4
41,99,58,54,280,7
42,98,56,51,260,6
43,95,55,55,288,7
44,96,57,51,260,4
45,96,57,54,277,7
46,100,59,55,285,3
47,98,59,50,253,4
48,97,56,55,271,1
49,97,57,54,291,4
50,95,57,52,289,6
51,100,57,54,268,3
52,97,56,55,255,8
53,98,58,55,254,1
54,96,55,54,283,7
55,100,57,50,290,7
56,98,57,51,299,5
57,97,58,53,263,2
58,99,58,54,254,1
59,99,58,52,298,6
60,95,58,54,281,2
61,95,55,52,268,8
62,99,59,53,250,6
63,97,60,50,266,6
64,100,60,53,300,6
65,100,56,53,274,7
66,100,55,55,254,1
67,95,58,50,285,8
68,95,60,51,261,5
69,100,55,51,253,8
70,97,58,55,283,8
71,99,60,53,289,3
72,95,55,50,263,8
73,99,58,52,267,7
74,96,58,52,276,6
75,95,60,55,271,6
76,98,60,50,260,2
77,100,58,53,270,3
78,99,55,55,292,4
79,100,57,55,258,2
80,95,55,52,261,3
81,100,59,55,279,3
82,96,56,52,274,3
83,96,55,53,269,7
84,96,55,50,275,1
85,99,60,51,289,6
86,98,60,51,256,7
87,97,59,54,252,5
88,98,55,55,275,6
89,96,58,51,252,5
90,100,57,55,278,6
91,100,57,52,275,8
92,97,56,51,252,6
93,97,55,54,293,4
94,96,55,51,287,4
95,98,56,53,289,8
96,96,55,53,296,2
97,97,58,51,289,7
98,95,57,55,272,8
99,98,57,52,297,1
100,99,57,54,257,5
101,99,59,53,287,7
102,97,58,52,285,4
103,98,58,54,299,6
104,97,60,55,290,6
105,98,56,54,275,5
106,95,57,53,291,1
107,95,60,51,283,7
108,97,58,52,270,2
109,98,58,52,265,7
110,99,60,51,296,7
111,100,60,54,278,3
112,100,57,54,254,8
113,95,55,54,257,5
114,99,57,54,280,3
115,99,58,55,284,2
116,95,57,53,251,7
117,96,59,54,281,6
118,97,58,51,294,1
119,95,56,55,272,2
120,98,60,52,296,7
121,95,55,54,252,1
122,100,59,54,261,8
123,96,57,53,261,2
124,97,59,50,283,6
125,95,57,51,259,6
126,98,55,54,252,3
127,96,59,54,298,2
128,95,55,52,252,4
129,98,55,55,250,7
130,95,56,54,284,1
131,99,59,55,276,3
132,98,56,50,273,6
133,97,58,53,264,8
134,99,60,55,280,5
135,96,58,51,270,2
136,99,57,52,281,6
137,97,57,53,254,8
138,98,57,53,276,4
139,98,59,53,291,2
140,96,59,52,298,7
141,100,55,51,252,3
142,100,59,52,264,1
143,99,55,50,298,6
144,96,60,52,284,1
145,97,56,52,282,8
146,100,60,51,257,7
147,100,58,53,254,6
148,96,57,53,252,7
149,99,60,54,272,6
150,100,57,55,298,5
151,95,60,52,280,2
152,98,55,52,279,7
153,97,57,54,299,3
154,99,58,55,267,1
155,100,56,53,256,7
156,96,55,50,252,5
157,100,60,52,280,6
158,95,59,51,254,5
159,97,57,55,286,5
160,96,58,54,295,3
161,98,60,50,272,4
162,99,57,51,268,3
163,97,59,52,269,6
164,96,56,54,256,2
165,95,60,51,255,3
166,95,56,53,267,7
167,98,56,50,266,3
168,95,57,51,254,2
169,97,57,50,278,2
170,97,55,54,300,1
171,99,57,55,273,6
172,100,57,50,278,2
173,98,55,55,295,3
174,98,58,52,290,3
175,100,57,50,287,6
176,98,58,52,264,8
177,100,59,55,257,4
178,95,55,53,297,3
179,97,57,54,299,7
180,98,55,53,282,2
181,99,57,51,290,1
182,97,58,52,290,5
183,100,58,53,290,7
184,98,59,52,287,1
185,97,59,55,277,7
186,97,55,52,293,4
187,99,60,54,257,3
188,99,57,54,265,2
189,100,56,52,271,4
190,98,55,51,297,8
191,96,57,54,267,7
192,100,57,51,288,5
193,95,55,52,285,7
194,99,56,50,272,8
195,100,57,51,294,7
196,97,58,50,291,5
197,95,59,53,271,4
198,98,57,51,272,2
199,97,55,52,280,5
